LAST SEEN   TYPE      REASON                         OBJECT                                              MESSAGE
19m         Warning   FailedGetScale                 horizontalpodautoscaler/insuretech-app-hpa-memory   deployments.apps "insuretech-app" not found
5m44s       Warning   FailedGetResourceMetric        horizontalpodautoscaler/insuretech-app-hpa-memory   failed to get memory utilization: did not receive metrics for targeted pods (pods might be unready)
5m44s       Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/insuretech-app-hpa-memory   invalid metrics (1 invalid out of 1), first error is: failed to get memory resource metric value: failed to get memory utilization: did not receive metrics for targeted pods (pods might be unready)
4m14s       Warning   FailedGetResourceMetric        horizontalpodautoscaler/insuretech-app-hpa-memory   failed to get memory utilization: unable to get metrics for resource memory: no metrics returned from resource metrics API
4m14s       Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/insuretech-app-hpa-memory   invalid metrics (1 invalid out of 1), first error is: failed to get memory resource metric value: failed to get memory utilization: unable to get metrics for resource memory: no metrics returned from resource metrics API
3m59s       Warning   FailedGetResourceMetric        horizontalpodautoscaler/insuretech-app-hpa-memory   failed to get memory utilization: unable to get metrics for resource memory: no metrics returned from resource metrics API
3m59s       Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/insuretech-app-hpa-memory   invalid metrics (1 invalid out of 1), first error is: failed to get memory resource metric value: failed to get memory utilization: unable to get metrics for resource memory: no metrics returned from resource metrics API
59s         Warning   FailedGetResourceMetric        horizontalpodautoscaler/insuretech-app-hpa-memory   failed to get memory utilization: did not receive metrics for targeted pods (pods might be unready)
59s         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/insuretech-app-hpa-memory   invalid metrics (1 invalid out of 1), first error is: failed to get memory resource metric value: failed to get memory utilization: did not receive metrics for targeted pods (pods might be unready)
44s         Normal    SuccessfulRescale              horizontalpodautoscaler/insuretech-app-hpa-memory   New size: 2; reason: memory resource utilization (percentage of request) above target
